City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,kahului,20.8947,-156.47,79.84,85,40,6.91,US,1675191234
147,nikolskoye,59.7035,30.7861,31.91,96,100,6.71,RU,1675191023
148,gushi,34.6425,109.5843,40.6,30,97,1.68,CN,1675191235
149,gualaquiza,-3.4,-78.55,77.9,54,100,3.56,EC,1675191235
150,thinadhoo,0.5333,72.9333,81.21,75,5,10.22,MV,1675191236
151,porto novo,6.4965,2.6036,82.22,78,86,7.87,BJ,1675191236
152,college,64.8569,-147.8028,19.35,80,100,4.61,US,1675191236
153,soyo,-6.1349,12.3689,80.1,81,8,7.45,AO,1675191237
154,reconquista,-29.15,-59.65,103.42,13,0,7.9,AR,1675191237
155,hithadhoo,-0.6,73.0833,81.32,76,25,10.4,MV,1675191238
156,letlhakane,-21.4167,25.5833,78.71,48,81,6.35,BW,1675191238
157,puerto ayora,-0.7393,-90.3518,84.16,90,69,5.01,EC,1675190959
158,nacala,-14.5428,40.6728,77.09,89,96,2.8,MZ,1675191239
159,wamba,8.9333,8.6,83.93,23,55,2.48,NG,1675191240
160,lazarev,52.225,141.5131,-16.44,96,11,4.85,RU,1675191241
161,hasaki,35.7333,140.8333,28.8,54,58,4.9,JP,1675191242
162,tukrah,32.5341,20.5791,58.5,59,53,26.71,LY,1675191242
163,rio gallegos,-51.6226,-69.2181,68.05,26,0,19.57,AR,1675191243
164,husavik,66.0449,-17.3389,28.96,93,100,20.98,IS,1675191025
165,baracoa,20.3467,-74.4958,80.55,64,94,12.06,CU,1675191244
166,viedma,-40.8135,-62.9967,71.51,43,3,16.51,AR,1675191113
167,castro,-24.7911,-50.0119,65.86,98,100,6.29,BR,1675191245
168,poli,-3.3333,36.8,73.67,53,40,5.75,TZ,1675191246
169,doha,25.2867,51.5333,67.98,80,0,18.41,QA,1675191246
170,lubumbashi,-11.6609,27.4794,64.63,94,100,3.11,CD,1675191247
171,kapaa,22.0752,-159.319,71.19,94,0,3.44,US,1675191248
172,ancud,-41.8697,-73.8203,63.9,55,0,9.93,CL,1675191249
173,butembo,0.15,29.2833,63.41,51,59,2.93,CD,1675191250
174,qaanaaq,77.484,-69.3632,-5.64,49,98,8.21,GL,1675191040
175,saskylakh,71.9167,114.0833,-31.04,98,100,5.75,RU,1675191251
176,oranjemund,-28.55,16.4333,64.15,94,0,5.73,NA,1675191252
177,teya,60.3778,92.6267,-4.29,100,100,3.51,RU,1675191252
178,port blair,11.6667,92.75,80.64,78,40,3.44,IN,1675191254
179,mahebourg,-20.4081,57.7,80.89,83,40,4.61,MU,1675191255
180,kaka,37.3482,59.6143,51.71,46,100,3.58,TM,1675191255
181,mezhgorye,44.9667,34.4167,32.85,83,100,4.03,UA,1675191256
182,namibe,-15.1961,12.1522,72.68,79,97,4.85,AO,1675191256
183,kaitangata,-46.2817,169.8464,61.59,99,100,1.39,NZ,1675190968
184,manggar,-2.8833,108.2667,77.99,88,100,10.92,ID,1675191257
185,koungou,-12.7336,45.2042,82.11,78,0,8.05,YT,1675191257
186,barrow,71.2906,-156.7887,-9.38,77,0,21.85,US,1675191053
187,cidreira,-30.1811,-50.2056,79.5,77,3,9.91,BR,1675191258
